# Age (months), Mass (lb)
0.000000000000000000e+00,2.186299999999999955e+02
2.500000000000000000e+00,4.097300000000000182e+02
5.000000000000000000e+00,5.001100000000000136e+02
7.500000000000000000e+00,6.048099999999999454e+02
1.000000000000000000e+01,7.090599999999999454e+02
1.250000000000000000e+01,7.927300000000000182e+02
1.500000000000000000e+01,8.461299999999999955e+02
1.750000000000000000e+01,9.810900000000000318e+02
2.000000000000000000e+01,1.063829999999999927e+03
2.250000000000000000e+01,1.117500000000000000e+03
2.500000000000000000e+01,1.299000000000000000e+03
2.750000000000000000e+01,1.411569999999999936e+03
