# Age (months), Mass (lb)
0.000000000000000000e+00,2.841100000000000136e+02
2.500000000000000000e+00,3.384399999999999977e+02
5.000000000000000000e+00,4.654499999999999886e+02
7.500000000000000000e+00,5.269700000000000273e+02
1.000000000000000000e+01,6.263500000000000227e+02
1.250000000000000000e+01,7.743899999999999864e+02
1.500000000000000000e+01,8.865599999999999454e+02
1.750000000000000000e+01,9.905499999999999545e+02
2.000000000000000000e+01,1.091990000000000009e+03
2.250000000000000000e+01,1.124890000000000100e+03
2.500000000000000000e+01,1.288039999999999964e+03
2.750000000000000000e+01,1.382250000000000000e+03
