# Age (months), Mass (lb)
0.000000000000000000e+00,2.956000000000000227e+02
2.500000000000000000e+00,3.443600000000000136e+02
5.000000000000000000e+00,4.145899999999999750e+02
7.500000000000000000e+00,5.292400000000000091e+02
1.000000000000000000e+01,6.430000000000000000e+02
1.250000000000000000e+01,7.987300000000000182e+02
1.500000000000000000e+01,8.858799999999999955e+02
1.750000000000000000e+01,9.801399999999999864e+02
2.000000000000000000e+01,1.055569999999999936e+03
2.250000000000000000e+01,1.169490000000000009e+03
2.500000000000000000e+01,1.247880000000000109e+03
2.750000000000000000e+01,1.314700000000000045e+03
