# Age (months), Mass (lb)
0.000000000000000000e+00,2.487100000000000080e+02
2.500000000000000000e+00,3.279599999999999795e+02
5.000000000000000000e+00,5.118500000000000227e+02
7.500000000000000000e+00,5.417500000000000000e+02
1.000000000000000000e+01,6.718600000000000136e+02
1.250000000000000000e+01,7.858400000000000318e+02
1.500000000000000000e+01,8.237400000000000091e+02
1.750000000000000000e+01,9.982999999999999545e+02
2.000000000000000000e+01,1.089400000000000091e+03
2.250000000000000000e+01,1.142759999999999991e+03
2.500000000000000000e+01,1.262930000000000064e+03
2.750000000000000000e+01,1.371430000000000064e+03
