# Age (months), Mass (lb)
0.000000000000000000e+00,2.856999999999999886e+02
2.500000000000000000e+00,3.444100000000000250e+02
5.000000000000000000e+00,4.443700000000000045e+02
7.500000000000000000e+00,6.089299999999999500e+02
1.000000000000000000e+01,7.040800000000000409e+02
1.250000000000000000e+01,7.655099999999999909e+02
1.500000000000000000e+01,8.994800000000000182e+02
1.750000000000000000e+01,9.794900000000000091e+02
2.000000000000000000e+01,1.045359999999999900e+03
2.250000000000000000e+01,1.196509999999999991e+03
2.500000000000000000e+01,1.293680000000000064e+03
2.750000000000000000e+01,1.412200000000000045e+03
