# Age (months), Mass (lb)
0.000000000000000000e+00,2.526299999999999955e+02
2.500000000000000000e+00,3.655500000000000114e+02
5.000000000000000000e+00,4.831100000000000136e+02
7.500000000000000000e+00,5.657799999999999727e+02
1.000000000000000000e+01,6.933200000000000500e+02
1.250000000000000000e+01,7.263999999999999773e+02
1.500000000000000000e+01,8.810900000000000318e+02
1.750000000000000000e+01,9.150599999999999454e+02
2.000000000000000000e+01,1.107029999999999973e+03
2.250000000000000000e+01,1.120470000000000027e+03
2.500000000000000000e+01,1.295140000000000100e+03
2.750000000000000000e+01,1.375759999999999991e+03
