# Age (months), Mass (lb)
0.000000000000000000e+00,2.874900000000000091e+02
2.500000000000000000e+00,4.080199999999999818e+02
5.000000000000000000e+00,4.714300000000000068e+02
7.500000000000000000e+00,5.329800000000000182e+02
1.000000000000000000e+01,6.316299999999999955e+02
1.250000000000000000e+01,7.608999999999999773e+02
1.500000000000000000e+01,8.314800000000000182e+02
1.750000000000000000e+01,9.752799999999999727e+02
2.000000000000000000e+01,1.068740000000000009e+03
2.250000000000000000e+01,1.173859999999999900e+03
2.500000000000000000e+01,1.264849999999999909e+03
2.750000000000000000e+01,1.359140000000000100e+03
