# Age (months), Mass (lb)
0.000000000000000000e+00,2.684800000000000182e+02
2.500000000000000000e+00,3.386000000000000227e+02
5.000000000000000000e+00,4.219499999999999886e+02
7.500000000000000000e+00,5.868099999999999454e+02
1.000000000000000000e+01,6.647699999999999818e+02
1.250000000000000000e+01,7.282000000000000455e+02
1.500000000000000000e+01,8.212899999999999636e+02
1.750000000000000000e+01,9.694099999999999682e+02
2.000000000000000000e+01,1.076839999999999918e+03
2.250000000000000000e+01,1.136319999999999936e+03
2.500000000000000000e+01,1.302950000000000045e+03
2.750000000000000000e+01,1.353509999999999991e+03
