# Age (months), Mass (lb)
0.000000000000000000e+00,2.391500000000000057e+02
2.500000000000000000e+00,4.096200000000000045e+02
5.000000000000000000e+00,4.723299999999999841e+02
7.500000000000000000e+00,5.903700000000000045e+02
1.000000000000000000e+01,6.636100000000000136e+02
1.250000000000000000e+01,7.962599999999999909e+02
1.500000000000000000e+01,8.607200000000000273e+02
1.750000000000000000e+01,9.184600000000000364e+02
2.000000000000000000e+01,1.015240000000000009e+03
2.250000000000000000e+01,1.133460000000000036e+03
2.500000000000000000e+01,1.278609999999999900e+03
2.750000000000000000e+01,1.327849999999999909e+03
