# Age (months), Mass (lb)
0.000000000000000000e+00,2.762099999999999795e+02
2.500000000000000000e+00,3.284800000000000182e+02
5.000000000000000000e+00,4.661100000000000136e+02
7.500000000000000000e+00,6.055800000000000409e+02
1.000000000000000000e+01,7.037400000000000091e+02
1.250000000000000000e+01,7.859500000000000455e+02
1.500000000000000000e+01,8.408500000000000227e+02
1.750000000000000000e+01,9.269099999999999682e+02
2.000000000000000000e+01,1.014899999999999977e+03
2.250000000000000000e+01,1.170440000000000055e+03
2.500000000000000000e+01,1.310599999999999909e+03
2.750000000000000000e+01,1.317569999999999936e+03
