# Age (months), Mass (lb)
0.000000000000000000e+00,2.621200000000000045e+02
2.500000000000000000e+00,4.038100000000000023e+02
5.000000000000000000e+00,5.114700000000000273e+02
7.500000000000000000e+00,5.756599999999999682e+02
1.000000000000000000e+01,6.216699999999999591e+02
1.250000000000000000e+01,7.312799999999999727e+02
1.500000000000000000e+01,8.744299999999999500e+02
1.750000000000000000e+01,9.869700000000000273e+02
2.000000000000000000e+01,1.096109999999999900e+03
2.250000000000000000e+01,1.129029999999999973e+03
2.500000000000000000e+01,1.310250000000000000e+03
2.750000000000000000e+01,1.375000000000000000e+03
