# Age (months), Mass (lb)
0.000000000000000000e+00,2.240699999999999932e+02
2.500000000000000000e+00,4.092300000000000182e+02
5.000000000000000000e+00,4.538199999999999932e+02
7.500000000000000000e+00,5.998700000000000045e+02
1.000000000000000000e+01,6.781200000000000045e+02
1.250000000000000000e+01,7.865000000000000000e+02
1.500000000000000000e+01,8.157300000000000182e+02
1.750000000000000000e+01,9.572799999999999727e+02
2.000000000000000000e+01,1.025519999999999982e+03
2.250000000000000000e+01,1.141390000000000100e+03
2.500000000000000000e+01,1.276309999999999945e+03
2.750000000000000000e+01,1.351400000000000091e+03
