# Age (months), Mass (lb)
0.000000000000000000e+00,3.014499999999999886e+02
2.500000000000000000e+00,3.400500000000000114e+02
5.000000000000000000e+00,5.110500000000000114e+02
7.500000000000000000e+00,5.657400000000000091e+02
1.000000000000000000e+01,6.244900000000000091e+02
1.250000000000000000e+01,7.896699999999999591e+02
1.500000000000000000e+01,8.335199999999999818e+02
1.750000000000000000e+01,1.004080000000000041e+03
2.000000000000000000e+01,1.110650000000000091e+03
2.250000000000000000e+01,1.201900000000000091e+03
2.500000000000000000e+01,1.294970000000000027e+03
2.750000000000000000e+01,1.327259999999999991e+03
