# Age (months), Mass (lb)
0.000000000000000000e+00,2.621800000000000068e+02
2.500000000000000000e+00,3.540400000000000205e+02
5.000000000000000000e+00,4.857900000000000205e+02
7.500000000000000000e+00,5.974299999999999500e+02
1.000000000000000000e+01,6.799299999999999500e+02
1.250000000000000000e+01,7.300900000000000318e+02
1.500000000000000000e+01,8.435000000000000000e+02
1.750000000000000000e+01,9.537999999999999545e+02
2.000000000000000000e+01,1.056730000000000018e+03
2.250000000000000000e+01,1.192579999999999927e+03
2.500000000000000000e+01,1.268839999999999918e+03
2.750000000000000000e+01,1.346920000000000073e+03
