# Age (months), Mass (lb)
0.000000000000000000e+00,3.031899999999999977e+02
2.500000000000000000e+00,3.253500000000000227e+02
5.000000000000000000e+00,4.748199999999999932e+02
7.500000000000000000e+00,5.171200000000000045e+02
1.000000000000000000e+01,7.005299999999999727e+02
1.250000000000000000e+01,7.368999999999999773e+02
1.500000000000000000e+01,8.449099999999999682e+02
1.750000000000000000e+01,9.486599999999999682e+02
2.000000000000000000e+01,1.035940000000000055e+03
2.250000000000000000e+01,1.168789999999999964e+03
2.500000000000000000e+01,1.248670000000000073e+03
2.750000000000000000e+01,1.347200000000000045e+03
