# Age (months), Mass (lb)
0.000000000000000000e+00,2.941899999999999977e+02
2.500000000000000000e+00,4.074200000000000159e+02
5.000000000000000000e+00,5.023899999999999864e+02
7.500000000000000000e+00,5.363099999999999454e+02
1.000000000000000000e+01,6.957100000000000364e+02
1.250000000000000000e+01,7.524099999999999682e+02
1.500000000000000000e+01,8.569900000000000091e+02
1.750000000000000000e+01,9.458400000000000318e+02
2.000000000000000000e+01,1.068069999999999936e+03
2.250000000000000000e+01,1.205910000000000082e+03
2.500000000000000000e+01,1.235829999999999927e+03
2.750000000000000000e+01,1.334130000000000109e+03
