# Age (months), Mass (lb)
0.000000000000000000e+00,3.031399999999999864e+02
2.500000000000000000e+00,3.645299999999999727e+02
5.000000000000000000e+00,4.478700000000000045e+02
7.500000000000000000e+00,5.240099999999999909e+02
1.000000000000000000e+01,6.686599999999999682e+02
1.250000000000000000e+01,7.747300000000000182e+02
1.500000000000000000e+01,8.216900000000000546e+02
1.750000000000000000e+01,1.007590000000000032e+03
2.000000000000000000e+01,1.038609999999999900e+03
2.250000000000000000e+01,1.130799999999999955e+03
2.500000000000000000e+01,1.295339999999999918e+03
2.750000000000000000e+01,1.357299999999999955e+03
