# Age (months), Mass (lb)
0.000000000000000000e+00,2.533400000000000034e+02
2.500000000000000000e+00,3.383299999999999841e+02
5.000000000000000000e+00,4.621299999999999955e+02
7.500000000000000000e+00,5.757599999999999909e+02
1.000000000000000000e+01,6.781100000000000136e+02
1.250000000000000000e+01,7.687200000000000273e+02
1.500000000000000000e+01,8.736900000000000546e+02
1.750000000000000000e+01,9.344400000000000546e+02
2.000000000000000000e+01,1.081039999999999964e+03
2.250000000000000000e+01,1.206400000000000091e+03
2.500000000000000000e+01,1.277309999999999945e+03
2.750000000000000000e+01,1.391549999999999955e+03
